7254#Has_Status,13843#Has_Direct_Object,48333#Has_Direct_Object,7802#Has_Constraint,7864#Has_Result,7864#Has_Preposition_Object,8744#Has_Direct_Object,8746#Has_Preposition_Object,action#Has_Event,24800#Has_Preposition_Object,9435#Has_Manner,48294#Has_Status,13078#Has_Direct_Object,7659#Has_Status,13078#Has_Constraint,33431#Has_Direct_Object,13112#Has_Direct_Object,48336#Has_Direct_Object,517#Has_Status,9462#Has_Direct_Object,1501#Has_Status,9442#Has_Status,9443#Has_Location,19#Has_Status,7846#Has_Direct_Object,7856#Has_Direct_Object,13215#Has_Direct_Object,9434#Has_Status,9904#Has_Direct_Object,14303#Has_Direct_Object,48295#Has_Direct_Object,7802#Has_Location,13112#Has_Preposition_Object,20#Has_Constraint,20#Has_Result,7852#Has_Direct_Object,20#Has_Direction,9939#Has_Direct_Object,24800#Has_Manner,7802#Has_Manner,9435#Has_Location,13249#Has_Direct_Object,7833#Has_Direct_Object,9435#Has_Direct_Object,7864#Has_Manner,20#Has_Direct_Object,8990#Has_Status,24800#Has_Direct_Object,7802#Has_Preposition_Object,7833#Has_Result,9443#Has_Temporal,8814#Has_Direct_Object,7802#Has_Direct_Object,7823#Has_Status,8741#Has_Preposition_Object,48295#Has_Constraint,13961#Has_Direct_Object,7849#Has_Direct_Object,13283#Has_Preposition_Object,8814#Has_Preposition_Object,13843#Has_Preposition_Object,13283#Has_Direct_Object,8746#Has_Location,13961#Has_Purpose,1514#Has_Status,9443#Has_Direct_Object,7802#Has_Result,7824#Has_Direct_Object,20#Has_Preposition_Object,1187#Has_Status,8746#Has_Direct_Object,8741#Has_Direct_Object,36136#Has_Direct_Object,19#Has_Type,9443#Has_Manner,19534#Has_Status,7864#Has_Direct_Object,api_method
7254,13843,48333,7802,7864,7864,8744,8746,20,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,1501,9442,9443,19,7846,7856,13215,9434,9904,14303,48295,7802,13112,20,20,7852,20,9939,24800,7802,9435,13249,7833,9435,7864,19,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,7864,13210
7254,13843,48333,7802,7864,7864,8744,8746,9904,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,1501,9442,9443,19,7846,7856,13215,9434,9886,14303,48295,7802,13112,20,20,7852,20,9939,24800,7802,9435,13249,7833,9435,7864,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,7864,9905
7254,13843,48333,7802,7864,7864,8744,8746,7864,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,1501,9442,9443,19,7846,7856,13215,9434,9904,14303,48295,7802,13112,20,20,7852,20,9939,24800,7802,9435,13249,7833,9435,13114,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,1501,47554
7254,13843,48333,7802,7864,7864,8744,8746,13215,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,1501,9442,9443,19,7846,7856,13214,9434,9904,14303,48295,7802,13112,20,20,7852,20,9939,24800,7802,9435,13249,7833,9435,7864,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,7864,13212
7254,13843,48333,7802,7864,7864,8744,8746,24800,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,1501,9442,9443,19,7846,7856,13215,9434,9904,14303,48295,7802,13112,20,20,7852,20,9939,24801,7802,9435,13249,7833,9435,7864,20,8990,869,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,7864,24799
7254,13843,48333,7802,7864,7864,8744,8746,7856,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,1501,9442,9443,19,7846,7855,13215,9434,9904,14303,48295,7802,13112,20,20,7852,20,9939,24800,7802,9435,13249,7833,9435,7864,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,7864,7857
7254,13843,48333,7802,7864,7864,8744,8746,9939,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,1501,9442,9443,19,7846,7856,13215,9434,9904,14303,48295,7802,13112,20,20,7852,20,9886,24800,7802,9435,13249,7833,9435,7864,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,7864,9938
7254,13843,48333,7802,7864,7864,8744,8746,7833,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,1501,9442,9443,19,7846,7856,13215,9434,9904,14303,48295,7802,13112,20,20,7852,20,9939,24800,7802,9435,13249,7832,9435,7864,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,7864,7831
7254,13843,48333,7802,7864,7864,8744,8746,13078,24800,9435,48294,1501,7659,13174,33431,13112,48336,517,9462,1501,9442,9443,19,7846,7856,13215,9434,9904,14303,48295,7802,13112,20,20,7852,20,9939,24800,7802,9435,13249,7833,9435,7864,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,7864,13175
7254,13843,48333,7802,7864,7864,8744,8746,9462,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9461,1501,9442,9443,19,7846,7856,13215,9434,9904,14303,48295,7802,13112,20,20,7852,20,9939,24800,7802,9435,13249,7833,9435,7864,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,7864,9460
7254,13843,48333,7802,7864,7864,8744,8746,7864,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,1501,9442,9443,19,7846,7856,13215,9434,9904,14303,48295,7802,13112,20,20,7852,20,9939,24800,7802,9435,13249,7833,9435,13114,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,1501,13113
7254,13843,48333,7802,7864,7864,8744,8746,13249,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,1501,9442,9443,19,7846,7856,13215,9434,9904,14303,48295,7802,13112,20,20,7852,20,9939,24800,7802,9435,13248,7833,9435,7864,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,7864,47582
7254,13843,48333,7802,7864,7864,8744,2160,8746,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,1501,9442,9443,19,7846,7856,13215,9434,9904,14303,48295,7802,13112,20,20,7852,20,9939,24800,7802,9435,13249,7833,9435,7864,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8470,8741,36136,19,9443,19534,7864,8747
7254,13841,48333,7802,7864,7864,8744,8746,13843,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,1501,9442,9443,19,7846,7856,13215,9434,9904,14303,48295,7802,13112,20,20,7852,20,9939,24800,7802,9435,13249,7833,9435,7864,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13849,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,7864,13848
7254,13843,48333,7802,7864,7864,8744,8746,20,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,1501,9442,9443,19,7846,7856,13215,9434,9904,14303,48295,7802,13112,20,20,7852,20,9939,24800,7802,9435,13249,7833,9435,7864,19,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,7864,47576
7254,13843,48333,7802,7864,7864,8744,8746,13249,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,1501,9442,9443,19,7846,7856,13215,9434,9904,14303,48295,7802,13112,20,20,7852,20,9939,24800,7802,9435,13248,7833,9435,7864,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,7864,13281
7254,13843,48333,7802,7864,7864,8744,8746,9443,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,1501,29,9446,19,7846,7856,13215,9434,9904,14303,48295,7802,13112,20,20,7852,20,9939,24800,7802,9435,13249,7833,9435,7864,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9442,7802,7824,20,1187,8746,8741,36136,19,9443,19534,7864,47491
7254,13843,48333,7802,7864,7864,8744,8746,8814,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,1501,9442,9443,19,7846,7856,13215,9434,9904,14303,48295,7802,13112,20,20,7852,20,9939,24800,7802,9435,13249,7833,9435,7864,20,8990,24800,7802,7833,9443,7251,7802,7823,8741,48295,13961,7849,13283,8813,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,7864,8812
7254,13843,48333,7802,7864,7864,8744,8746,7824,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,1501,9442,9443,19,7846,7856,13215,9434,9904,14303,48295,7802,13112,20,20,7852,20,9939,24800,7802,9435,13249,7833,9435,7864,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9443,7802,7823,20,1187,8746,8741,36136,19,9443,19534,7864,7827
7254,13843,48333,7802,7864,7864,8744,8746,7802,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,1501,9442,9443,19,7846,7856,13215,9434,9904,14303,48295,7809,13112,20,20,7852,20,9939,24800,7802,9435,13249,7833,9435,7864,20,8990,24800,7802,7833,9443,8814,1514,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,7805,9443,7810,7824,20,1187,8746,8741,36136,19,9443,19534,7864,7808
7254,13843,48333,7802,7864,7864,8744,8746,9435,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,1501,9442,9443,19,7846,7856,13215,29,9904,14303,48295,7802,13112,20,20,7852,20,9939,24800,7802,9438,13249,7833,9434,7864,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,7864,9437
7254,13843,48333,7802,7864,7864,8744,8746,24800,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,1501,9442,9443,19,7846,7856,13215,9434,9904,14303,48295,7802,13112,20,20,7852,20,9939,24803,7802,9435,13249,7833,9435,7864,20,8990,869,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,7864,24802
7254,13843,48333,7802,7864,1501,8744,8746,7864,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,511,9442,9443,19,7846,7856,13215,9434,9904,14303,48295,7802,13112,20,20,7852,20,9939,24800,7802,9435,13249,7833,9435,13124,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,1501,47559
7254,13843,48333,7802,13124,1501,8744,8746,7864,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,511,9442,9443,19,7846,7856,13215,9434,9904,14303,48295,7802,13112,20,20,7852,20,9939,24800,7802,9435,13249,7833,9435,7864,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,1501,13125
7254,13843,48333,7802,7864,7864,8744,8746,13112,24800,9435,48294,13078,7659,13078,33431,1514,48336,517,9462,1501,9442,9443,19,7846,7856,13215,9434,9904,14303,48295,7802,101,20,20,7852,20,9939,24800,7802,9435,13249,7833,9435,7864,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,7864,13111
7254,13843,48333,7802,7864,7864,8744,8746,7846,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,1501,9442,9443,19,6139,7856,13215,9434,9904,14303,48295,7802,13112,20,20,7852,20,9939,24800,7802,9435,13249,7833,9435,7864,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,7864,7845
7254,13843,48333,7802,7864,1501,8744,8746,7864,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,511,9442,9443,19,7846,7856,13215,9434,9904,14303,48295,7802,13112,20,20,7852,20,9939,24800,7802,9435,13249,7833,9435,13124,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,1501,13123
7254,13843,48333,7802,7864,7864,8744,8746,7864,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,511,9442,9443,19,7846,7856,13215,9434,9904,14303,48295,7802,13112,20,20,7852,20,9939,24800,7802,9435,13249,7833,9435,7864,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,1501,13115
7254,13843,48333,7802,7864,7864,8744,8746,9443,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,1501,29,9438,19,7846,7856,13215,9434,9904,14303,48295,7802,13112,20,20,7852,20,9939,24800,7802,9435,13249,7833,9435,7864,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9442,7802,7824,20,1187,8746,8741,36136,19,9443,19534,7864,47490
7254,13843,48333,7802,7864,7864,8744,8746,9443,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,1501,29,9438,19,7846,7856,13215,9434,9904,14303,48295,7802,13112,20,20,7852,20,9939,24800,7802,9435,13249,7833,9435,7864,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9442,7802,7824,20,1187,8746,8741,36136,19,9443,19534,7864,9444
7254,13843,48333,7802,7864,7864,8744,8746,48336,24800,9435,48294,13078,7659,13078,33431,13112,48335,517,9462,1501,9442,9443,19,7846,7856,13215,9434,9904,14303,48295,7802,13112,20,20,7852,20,9939,24800,7802,9435,13249,7833,9435,7864,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,7864,48334
7254,13843,48333,7802,7864,7864,8744,8746,24800,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,1501,9442,9443,19,7846,7856,13215,9434,9904,14303,48295,7802,13112,20,20,7852,20,9939,24805,7802,9435,13249,7833,9435,7864,20,8990,869,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,7864,24804
7254,13843,48333,7802,7864,7864,8744,8746,13078,24800,9435,48294,1501,7659,13172,33431,13112,48336,517,9462,1501,9442,9443,19,7846,7856,13215,9434,9904,14303,48295,7802,13112,20,20,7852,20,9939,24800,7802,9435,13249,7833,9435,7864,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,7864,13171
7254,13843,48333,7802,7864,7864,8744,8746,7856,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,1501,9442,9443,19,7846,7855,13215,9434,9904,14303,48295,7802,13112,20,20,7852,20,9939,24800,7802,9435,13249,7833,9435,7864,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,7864,7858
7254,13843,48333,7802,7864,7864,8744,8746,7864,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,511,9442,9443,19,7846,7856,13215,9434,9904,14303,48295,7802,13112,20,20,7852,20,9939,24800,7802,9435,13249,7833,9435,7864,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,1501,47555
7254,13843,48333,7802,7864,7864,8744,8746,7864,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,1501,9442,9443,19,7846,7856,13215,9434,9904,14303,48295,7802,13112,20,20,7852,20,9939,24800,7802,9435,13249,7833,9435,7864,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,1501,7863
7254,13843,48333,7802,7864,7864,8744,8746,7852,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,1501,9442,9443,19,7846,7856,13215,9434,9904,14303,48295,7802,13112,20,20,7851,20,9939,24800,7802,9435,13249,7833,9435,7864,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,7864,7853
7254,13843,48333,7802,7864,7864,8744,8746,7802,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,7805,9442,9443,19,7846,7856,13215,9434,9904,14303,48295,7802,13112,20,20,7852,20,9939,24800,7807,9435,13249,7833,9435,7864,20,8990,24800,1501,7833,9443,8814,1514,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,7805,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,7864,7806
7254,13843,48333,7802,7864,7864,8744,8746,13112,24800,9435,48294,13078,7659,13078,33431,1514,48336,517,9462,1501,9442,9443,19,7846,7856,13215,9434,9904,14303,48295,7802,101,20,20,7852,20,9939,24800,7802,9435,13249,7833,9435,7864,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,7864,47553
